
 Times     Frequency        Value      TIMES 
      1     19900.00      18478.29     4.32
      1     19910.00      13937.94     5.04
      1     19920.00      10735.46     4.51
      1     19930.00       6437.12     2.90
      1     19940.00      36907.06     8.87
      1     19950.00      60962.69    13.51
      1     19960.00     100540.28    21.41
      1     19970.00     222229.25    47.67
      1     19980.00     276974.15    29.20
      1     20020.00     232867.54     9.45
      1     20030.00      70195.70    92.17
      1     20040.00      16855.91     3.39
      1     20050.00      22925.55     6.15
      1     20060.00      38720.29     8.22
      1     20070.00      21954.13     7.26
      1     20080.00       4420.44     1.91
      1     20090.00       8347.95     4.01
      1     20100.00       7870.84     2.88
